Query 	 Document 	 Ranking 	 R/N 	 Precision 			 Recall
1	 	 CACM-2319	  1	 	      N		   0.0	0.0
1	 	 CACM-1657	  2	 	      N		   0.0	0.0
1	 	 CACM-1410	  3	 	      R		   0.3333333333333333	0.2
1	 	 CACM-1938	  4	 	      N		   0.25	0.2
1	 	 CACM-2629	  5	 	      N		   0.2	0.2
1	 	 CACM-2378	  6	 	      N		   0.16666666666666666	0.2
1	 	 CACM-1827	  7	 	      N		   0.14285714285714285	0.2
1	 	 CACM-2218	  8	 	      N		   0.125	0.2
1	 	 CACM-2054	  9	 	      N		   0.1111111111111111	0.2
1	 	 CACM-1698	  10	 	      N		   0.1	0.2
1	 	 CACM-1844	  11	 	      N		   0.09090909090909091	0.2
1	 	 CACM-2947	  12	 	      N		   0.08333333333333333	0.2
1	 	 CACM-1605	  13	 	      R		   0.15384615384615385	0.4
1	 	 CACM-2357	  14	 	      N		   0.14285714285714285	0.4
1	 	 CACM-1591	  15	 	      N		   0.13333333333333333	0.4
1	 	 CACM-1161	  16	 	      N		   0.125	0.4
1	 	 CACM-1033	  17	 	      N		   0.11764705882352941	0.4
1	 	 CACM-2379	  18	 	      N		   0.1111111111111111	0.4
1	 	 CACM-1749	  19	 	      N		   0.10526315789473684	0.4
1	 	 CACM-2535	  20	 	      N		   0.1	0.4
1	 	 CACM-1487	  21	 	      N		   0.09523809523809523	0.4
1	 	 CACM-2371	  22	 	      N		   0.09090909090909091	0.4
1	 	 CACM-1506	  23	 	      N		   0.08695652173913043	0.4
1	 	 CACM-2950	  24	 	      N		   0.08333333333333333	0.4
1	 	 CACM-2541	  25	 	      N		   0.08	0.4
1	 	 CACM-1519	  26	 	      N		   0.07692307692307693	0.4
1	 	 CACM-2501	  27	 	      N		   0.07407407407407407	0.4
1	 	 CACM-2151	  28	 	      N		   0.07142857142857142	0.4
1	 	 CACM-2424	  29	 	      N		   0.06896551724137931	0.4
1	 	 CACM-1572	  30	 	      R		   0.1	0.6
1	 	 CACM-1071	  31	 	      N		   0.0967741935483871	0.6
1	 	 CACM-2946	  32	 	      N		   0.09375	0.6
1	 	 CACM-2500	  33	 	      N		   0.09090909090909091	0.6
1	 	 CACM-1908	  34	 	      N		   0.08823529411764706	0.6
1	 	 CACM-2219	  35	 	      N		   0.08571428571428572	0.6
1	 	 CACM-2632	  36	 	      N		   0.08333333333333333	0.6
1	 	 CACM-2344	  37	 	      N		   0.08108108108108109	0.6
1	 	 CACM-1464	  38	 	      N		   0.07894736842105263	0.6
1	 	 CACM-1805	  39	 	      N		   0.07692307692307693	0.6
1	 	 CACM-0637	  40	 	      N		   0.075	0.6
1	 	 CACM-1225	  41	 	      N		   0.07317073170731707	0.6
1	 	 CACM-0698	  42	 	      N		   0.07142857142857142	0.6
1	 	 CACM-1544	  43	 	      N		   0.06976744186046512	0.6
1	 	 CACM-1408	  44	 	      N		   0.06818181818181818	0.6
1	 	 CACM-1523	  45	 	      N		   0.06666666666666667	0.6
1	 	 CACM-1391	  46	 	      N		   0.06521739130434782	0.6
1	 	 CACM-1752	  47	 	      N		   0.06382978723404255	0.6
1	 	 CACM-2003	  48	 	      N		   0.0625	0.6
1	 	 CACM-1647	  49	 	      N		   0.061224489795918366	0.6
1	 	 CACM-2380	  50	 	      N		   0.06	0.6
1	 	 CACM-0585	  51	 	      N		   0.058823529411764705	0.6
1	 	 CACM-2764	  52	 	      N		   0.057692307692307696	0.6
1	 	 CACM-2948	  53	 	      N		   0.05660377358490566	0.6
1	 	 CACM-1885	  54	 	      N		   0.05555555555555555	0.6
1	 	 CACM-1680	  55	 	      N		   0.05454545454545454	0.6
1	 	 CACM-1226	  56	 	      N		   0.05357142857142857	0.6
1	 	 CACM-1685	  57	 	      N		   0.05263157894736842	0.6
1	 	 CACM-1440	  58	 	      N		   0.05172413793103448	0.6
1	 	 CACM-1854	  59	 	      N		   0.05084745762711865	0.6
1	 	 CACM-2920	  60	 	      N		   0.05	0.6
1	 	 CACM-1462	  61	 	      N		   0.04918032786885246	0.6
1	 	 CACM-3068	  62	 	      N		   0.04838709677419355	0.6
1	 	 CACM-1750	  63	 	      N		   0.047619047619047616	0.6
1	 	 CACM-1747	  64	 	      N		   0.046875	0.6
1	 	 CACM-0971	  65	 	      N		   0.046153846153846156	0.6
1	 	 CACM-3127	  66	 	      N		   0.045454545454545456	0.6
1	 	 CACM-3023	  67	 	      N		   0.04477611940298507	0.6
1	 	 CACM-1264	  68	 	      N		   0.04411764705882353	0.6
1	 	 CACM-2522	  69	 	      N		   0.043478260869565216	0.6
1	 	 CACM-1315	  70	 	      N		   0.04285714285714286	0.6
1	 	 CACM-0397	  71	 	      N		   0.04225352112676056	0.6
1	 	 CACM-3025	  72	 	      N		   0.041666666666666664	0.6
1	 	 CACM-2365	  73	 	      N		   0.0410958904109589	0.6
1	 	 CACM-2317	  74	 	      N		   0.04054054054054054	0.6
1	 	 CACM-2838	  75	 	      N		   0.04	0.6
1	 	 CACM-1542	  76	 	      N		   0.039473684210526314	0.6
1	 	 CACM-2439	  77	 	      N		   0.03896103896103896	0.6
1	 	 CACM-3011	  78	 	      N		   0.038461538461538464	0.6
1	 	 CACM-2358	  79	 	      R		   0.05063291139240506	0.8
1	 	 CACM-2201	  80	 	      N		   0.05	0.8
1	 	 CACM-1590	  81	 	      N		   0.04938271604938271	0.8
1	 	 CACM-2841	  82	 	      N		   0.04878048780487805	0.8
1	 	 CACM-2740	  83	 	      N		   0.04819277108433735	0.8
1	 	 CACM-2080	  84	 	      N		   0.047619047619047616	0.8
1	 	 CACM-1046	  85	 	      N		   0.047058823529411764	0.8
1	 	 CACM-2917	  86	 	      N		   0.046511627906976744	0.8
1	 	 CACM-0699	  87	 	      N		   0.04597701149425287	0.8
1	 	 CACM-3069	  88	 	      N		   0.045454545454545456	0.8
1	 	 CACM-3174	  89	 	      N		   0.0449438202247191	0.8
1	 	 CACM-2681	  90	 	      N		   0.044444444444444446	0.8
1	 	 CACM-1828	  91	 	      N		   0.04395604395604396	0.8
1	 	 CACM-1626	  92	 	      N		   0.043478260869565216	0.8
1	 	 CACM-1923	  93	 	      N		   0.043010752688172046	0.8
1	 	 CACM-1892	  94	 	      N		   0.0425531914893617	0.8
1	 	 CACM-1753	  95	 	      N		   0.042105263157894736	0.8
1	 	 CACM-2390	  96	 	      N		   0.041666666666666664	0.8
