Query 	 Document 	 Ranking 	 R/N 	 Precision 			 Recall
1	 	 CACM-1410	  1	 	      R		   1.0	0.2
1	 	 CACM-1605	  2	 	      R		   1.0	0.4
1	 	 CACM-1523	  3	 	      N		   0.6666666666666666	0.4
1	 	 CACM-2379	  4	 	      N		   0.5	0.4
1	 	 CACM-1519	  5	 	      N		   0.4	0.4
1	 	 CACM-2319	  6	 	      N		   0.3333333333333333	0.4
1	 	 CACM-1506	  7	 	      N		   0.2857142857142857	0.4
1	 	 CACM-2380	  8	 	      N		   0.25	0.4
1	 	 CACM-1033	  9	 	      N		   0.2222222222222222	0.4
1	 	 CACM-1544	  10	 	      N		   0.2	0.4
1	 	 CACM-1938	  11	 	      N		   0.18181818181818182	0.4
1	 	 CACM-2632	  12	 	      N		   0.16666666666666666	0.4
1	 	 CACM-2371	  13	 	      N		   0.15384615384615385	0.4
1	 	 CACM-1591	  14	 	      N		   0.14285714285714285	0.4
1	 	 CACM-0585	  15	 	      N		   0.13333333333333333	0.4
1	 	 CACM-1749	  16	 	      N		   0.125	0.4
1	 	 CACM-1464	  17	 	      N		   0.11764705882352941	0.4
1	 	 CACM-1225	  18	 	      N		   0.1111111111111111	0.4
1	 	 CACM-2054	  19	 	      N		   0.10526315789473684	0.4
1	 	 CACM-1173	  20	 	      N		   0.1	0.4
1	 	 CACM-0637	  21	 	      N		   0.09523809523809523	0.4
1	 	 CACM-1827	  22	 	      N		   0.09090909090909091	0.4
1	 	 CACM-1161	  23	 	      N		   0.08695652173913043	0.4
1	 	 CACM-2358	  24	 	      R		   0.125	0.6
1	 	 CACM-1647	  25	 	      N		   0.12	0.6
1	 	 CACM-1226	  26	 	      N		   0.11538461538461539	0.6
1	 	 CACM-1264	  27	 	      N		   0.1111111111111111	0.6
1	 	 CACM-3025	  28	 	      N		   0.10714285714285714	0.6
1	 	 CACM-3127	  29	 	      N		   0.10344827586206896	0.6
1	 	 CACM-2188	  30	 	      N		   0.1	0.6
1	 	 CACM-2535	  31	 	      N		   0.0967741935483871	0.6
1	 	 CACM-2946	  32	 	      N		   0.09375	0.6
1	 	 CACM-1885	  33	 	      N		   0.09090909090909091	0.6
1	 	 CACM-2357	  34	 	      N		   0.08823529411764706	0.6
1	 	 CACM-0971	  35	 	      N		   0.08571428571428572	0.6
1	 	 CACM-1657	  36	 	      N		   0.08333333333333333	0.6
1	 	 CACM-2560	  37	 	      N		   0.08108108108108109	0.6
1	 	 CACM-2947	  38	 	      N		   0.07894736842105263	0.6
1	 	 CACM-2629	  39	 	      N		   0.07692307692307693	0.6
1	 	 CACM-1753	  40	 	      N		   0.075	0.6
1	 	 CACM-2740	  41	 	      N		   0.07317073170731707	0.6
1	 	 CACM-1179	  42	 	      N		   0.07142857142857142	0.6
1	 	 CACM-2288	  43	 	      N		   0.06976744186046512	0.6
1	 	 CACM-2003	  44	 	      N		   0.06818181818181818	0.6
1	 	 CACM-2950	  45	 	      N		   0.06666666666666667	0.6
1	 	 CACM-2378	  46	 	      N		   0.06521739130434782	0.6
1	 	 CACM-1542	  47	 	      N		   0.06382978723404255	0.6
1	 	 CACM-1805	  48	 	      N		   0.0625	0.6
1	 	 CACM-0414	  49	 	      N		   0.061224489795918366	0.6
1	 	 CACM-1680	  50	 	      N		   0.06	0.6
1	 	 CACM-2841	  51	 	      N		   0.058823529411764705	0.6
1	 	 CACM-1571	  52	 	      N		   0.057692307692307696	0.6
1	 	 CACM-2541	  53	 	      N		   0.05660377358490566	0.6
1	 	 CACM-2424	  54	 	      N		   0.05555555555555555	0.6
1	 	 CACM-0972	  55	 	      N		   0.05454545454545454	0.6
1	 	 CACM-1750	  56	 	      N		   0.05357142857142857	0.6
1	 	 CACM-1304	  57	 	      N		   0.05263157894736842	0.6
1	 	 CACM-1472	  58	 	      N		   0.05172413793103448	0.6
1	 	 CACM-3069	  59	 	      N		   0.05084745762711865	0.6
1	 	 CACM-0202	  60	 	      N		   0.05	0.6
1	 	 CACM-1960	  61	 	      N		   0.04918032786885246	0.6
1	 	 CACM-2621	  62	 	      N		   0.04838709677419355	0.6
1	 	 CACM-1341	  63	 	      N		   0.047619047619047616	0.6
1	 	 CACM-2080	  64	 	      N		   0.046875	0.6
1	 	 CACM-1195	  65	 	      N		   0.046153846153846156	0.6
1	 	 CACM-2153	  66	 	      N		   0.045454545454545456	0.6
1	 	 CACM-2764	  67	 	      N		   0.04477611940298507	0.6
1	 	 CACM-1315	  68	 	      N		   0.04411764705882353	0.6
1	 	 CACM-2767	  69	 	      N		   0.043478260869565216	0.6
1	 	 CACM-2201	  70	 	      N		   0.04285714285714286	0.6
1	 	 CACM-1626	  71	 	      N		   0.04225352112676056	0.6
1	 	 CACM-1698	  72	 	      N		   0.041666666666666664	0.6
1	 	 CACM-2951	  73	 	      N		   0.0410958904109589	0.6
1	 	 CACM-1526	  74	 	      N		   0.04054054054054054	0.6
1	 	 CACM-2398	  75	 	      N		   0.04	0.6
1	 	 CACM-0698	  76	 	      N		   0.039473684210526314	0.6
1	 	 CACM-2868	  77	 	      N		   0.03896103896103896	0.6
1	 	 CACM-3070	  78	 	      N		   0.038461538461538464	0.6
1	 	 CACM-3068	  79	 	      N		   0.0379746835443038	0.6
1	 	 CACM-1844	  80	 	      N		   0.0375	0.6
1	 	 CACM-2542	  81	 	      N		   0.037037037037037035	0.6
1	 	 CACM-2681	  82	 	      N		   0.036585365853658534	0.6
1	 	 CACM-3048	  83	 	      N		   0.03614457831325301	0.6
1	 	 CACM-1589	  84	 	      N		   0.03571428571428571	0.6
1	 	 CACM-1236	  85	 	      N		   0.03529411764705882	0.6
1	 	 CACM-0284	  86	 	      N		   0.03488372093023256	0.6
1	 	 CACM-0699	  87	 	      N		   0.034482758620689655	0.6
1	 	 CACM-3153	  88	 	      N		   0.03409090909090909	0.6
1	 	 CACM-1487	  89	 	      N		   0.033707865168539325	0.6
1	 	 CACM-3137	  90	 	      N		   0.03333333333333333	0.6
1	 	 CACM-2892	  91	 	      N		   0.03296703296703297	0.6
1	 	 CACM-2126	  92	 	      N		   0.03260869565217391	0.6
1	 	 CACM-1572	  93	 	      R		   0.043010752688172046	0.8
1	 	 CACM-1829	  94	 	      N		   0.0425531914893617	0.8
1	 	 CACM-3087	  95	 	      N		   0.042105263157894736	0.8
1	 	 CACM-2247	  96	 	      N		   0.041666666666666664	0.8
1	 	 CACM-2622	  97	 	      N		   0.041237113402061855	0.8
1	 	 CACM-1034	  98	 	      N		   0.04081632653061224	0.8
1	 	 CACM-1682	  99	 	      N		   0.04040404040404041	0.8
1	 	 CACM-2536	  100	 	      N		   0.04	0.8
P@5 for query 1 is: 0.4
P@20 for query 1 is: 0.1
2	 	 CACM-2434	  1	 	      R		   1.0	0.3333333333333333
2	 	 CACM-2863	  2	 	      R		   1.0	0.6666666666666666
2	 	 CACM-3078	  3	 	      R		   1.0	1.0
2	 	 CACM-2572	  4	 	      N		   0.75	1.0
2	 	 CACM-0616	  5	 	      N		   0.6	1.0
2	 	 CACM-1931	  6	 	      N		   0.5	1.0
2	 	 CACM-1652	  7	 	      N		   0.42857142857142855	1.0
2	 	 CACM-1010	  8	 	      N		   0.375	1.0
2	 	 CACM-2554	  9	 	      N		   0.3333333333333333	1.0
2	 	 CACM-2832	  10	 	      N		   0.3	1.0
2	 	 CACM-2704	  11	 	      N		   0.2727272727272727	1.0
2	 	 CACM-3092	  12	 	      N		   0.25	1.0
2	 	 CACM-3117	  13	 	      N		   0.23076923076923078	1.0
2	 	 CACM-1046	  14	 	      N		   0.21428571428571427	1.0
2	 	 CACM-3201	  15	 	      N		   0.2	1.0
2	 	 CACM-1930	  16	 	      N		   0.1875	1.0
2	 	 CACM-1182	  17	 	      N		   0.17647058823529413	1.0
2	 	 CACM-1671	  18	 	      N		   0.16666666666666666	1.0
2	 	 CACM-2786	  19	 	      N		   0.15789473684210525	1.0
2	 	 CACM-2716	  20	 	      N		   0.15	1.0
2	 	 CACM-3202	  21	 	      N		   0.14285714285714285	1.0
2	 	 CACM-2939	  22	 	      N		   0.13636363636363635	1.0
2	 	 CACM-1385	  23	 	      N		   0.13043478260869565	1.0
2	 	 CACM-3136	  24	 	      N		   0.125	1.0
2	 	 CACM-1379	  25	 	      N		   0.12	1.0
2	 	 CACM-2868	  26	 	      N		   0.11538461538461539	1.0
2	 	 CACM-3129	  27	 	      N		   0.1111111111111111	1.0
2	 	 CACM-2304	  28	 	      N		   0.10714285714285714	1.0
2	 	 CACM-2874	  29	 	      N		   0.10344827586206896	1.0
2	 	 CACM-0531	  30	 	      N		   0.1	1.0
2	 	 CACM-2866	  31	 	      N		   0.0967741935483871	1.0
