Query 	 Document 	 Ranking 	 R/N 	 Precision 			 Recall
1	 	 CACM-2685	  1	 	      N		   0.0	0.0
1	 	 CACM-2319	  2	 	      N		   0.0	0.0
1	 	 CACM-1069	  3	 	      N		   0.0	0.0
1	 	 CACM-2796	  4	 	      N		   0.0	0.0
1	 	 CACM-2380	  5	 	      N		   0.0	0.0
1	 	 CACM-2379	  6	 	      N		   0.0	0.0
1	 	 CACM-0098	  7	 	      N		   0.0	0.0
1	 	 CACM-2629	  8	 	      N		   0.0	0.0
1	 	 CACM-1523	  9	 	      N		   0.0	0.0
1	 	 CACM-2371	  10	 	      N		   0.0	0.0
1	 	 CACM-1755	  11	 	      N		   0.0	0.0
1	 	 CACM-0031	  12	 	      N		   0.0	0.0
1	 	 CACM-1304	  13	 	      N		   0.0	0.0
1	 	 CACM-2740	  14	 	      N		   0.0	0.0
1	 	 CACM-0704	  15	 	      N		   0.0	0.0
1	 	 CACM-1168	  16	 	      N		   0.0	0.0
1	 	 CACM-1461	  17	 	      N		   0.0	0.0
1	 	 CACM-0414	  18	 	      N		   0.0	0.0
1	 	 CACM-0067	  19	 	      N		   0.0	0.0
1	 	 CACM-1519	  20	 	      N		   0.0	0.0
1	 	 CACM-1749	  21	 	      N		   0.0	0.0
1	 	 CACM-2607	  22	 	      N		   0.0	0.0
1	 	 CACM-0061	  23	 	      N		   0.0	0.0
1	 	 CACM-0887	  24	 	      N		   0.0	0.0
1	 	 CACM-1591	  25	 	      N		   0.0	0.0
1	 	 CACM-0866	  26	 	      N		   0.0	0.0
1	 	 CACM-0999	  27	 	      N		   0.0	0.0
1	 	 CACM-1107	  28	 	      N		   0.0	0.0
1	 	 CACM-2917	  29	 	      N		   0.0	0.0
1	 	 CACM-0271	  30	 	      N		   0.0	0.0
1	 	 CACM-3068	  31	 	      N		   0.0	0.0
1	 	 CACM-1735	  32	 	      N		   0.0	0.0
1	 	 CACM-0135	  33	 	      N		   0.0	0.0
1	 	 CACM-0148	  34	 	      N		   0.0	0.0
1	 	 CACM-1106	  35	 	      N		   0.0	0.0
1	 	 CACM-1657	  36	 	      N		   0.0	0.0
1	 	 CACM-0118	  37	 	      N		   0.0	0.0
1	 	 CACM-0163	  38	 	      N		   0.0	0.0
1	 	 CACM-1544	  39	 	      N		   0.0	0.0
1	 	 CACM-0157	  40	 	      N		   0.0	0.0
1	 	 CACM-0433	  41	 	      N		   0.0	0.0
1	 	 CACM-1680	  42	 	      N		   0.0	0.0
1	 	 CACM-2621	  43	 	      N		   0.0	0.0
1	 	 CACM-0174	  44	 	      N		   0.0	0.0
