Query 	 Document 	 Ranking 	 R/N 	 Precision 			 Recall
1	 	 CACM-2685	  1	 	      N		   0.0	0.0
1	 	 CACM-2319	  2	 	      N		   0.0	0.0
1	 	 CACM-2796	  3	 	      N		   0.0	0.0
1	 	 CACM-1523	  4	 	      N		   0.0	0.0
1	 	 CACM-1069	  5	 	      N		   0.0	0.0
1	 	 CACM-2917	  6	 	      N		   0.0	0.0
1	 	 CACM-1304	  7	 	      N		   0.0	0.0
1	 	 CACM-2379	  8	 	      N		   0.0	0.0
1	 	 CACM-2380	  9	 	      N		   0.0	0.0
1	 	 CACM-2371	  10	 	      N		   0.0	0.0
1	 	 CACM-3068	  11	 	      N		   0.0	0.0
1	 	 CACM-1033	  12	 	      N		   0.0	0.0
1	 	 CACM-1735	  13	 	      N		   0.0	0.0
1	 	 CACM-1591	  14	 	      N		   0.0	0.0
1	 	 CACM-1657	  15	 	      N		   0.0	0.0
1	 	 CACM-1749	  16	 	      N		   0.0	0.0
1	 	 CACM-2629	  17	 	      N		   0.0	0.0
1	 	 CACM-1519	  18	 	      N		   0.0	0.0
1	 	 CACM-0414	  19	 	      N		   0.0	0.0
1	 	 CACM-0275	  20	 	      N		   0.0	0.0
1	 	 CACM-0594	  21	 	      N		   0.0	0.0
1	 	 CACM-0069	  22	 	      N		   0.0	0.0
1	 	 CACM-1440	  23	 	      N		   0.0	0.0
1	 	 CACM-0098	  24	 	      N		   0.0	0.0
1	 	 CACM-0827	  25	 	      N		   0.0	0.0
1	 	 CACM-0195	  26	 	      N		   0.0	0.0
1	 	 CACM-0294	  27	 	      N		   0.0	0.0
1	 	 CACM-2126	  28	 	      N		   0.0	0.0
1	 	 CACM-0050	  29	 	      N		   0.0	0.0
1	 	 CACM-0234	  30	 	      N		   0.0	0.0
1	 	 CACM-2357	  31	 	      N		   0.0	0.0
1	 	 CACM-1605	  32	 	      R		   0.03125	0.2
1	 	 CACM-0198	  33	 	      N		   0.030303030303030304	0.2
1	 	 CACM-0656	  34	 	      N		   0.029411764705882353	0.2
1	 	 CACM-2740	  35	 	      N		   0.02857142857142857	0.2
1	 	 CACM-1247	  36	 	      N		   0.027777777777777776	0.2
1	 	 CACM-1464	  37	 	      N		   0.02702702702702703	0.2
1	 	 CACM-3127	  38	 	      N		   0.02631578947368421	0.2
1	 	 CACM-2984	  39	 	      N		   0.02564102564102564	0.2
1	 	 CACM-1755	  40	 	      N		   0.025	0.2
1	 	 CACM-0031	  41	 	      N		   0.024390243902439025	0.2
1	 	 CACM-1938	  42	 	      N		   0.023809523809523808	0.2
