Query 	 Document 	 Ranking 	 R/N 	 Precision 			 Recall
1	 	 CACM-2380	  1	 	      N		   0.0	0.0
1	 	 CACM-1523	  2	 	      N		   0.0	0.0
1	 	 CACM-1410	  3	 	      R		   0.3333333333333333	0.2
1	 	 CACM-1519	  4	 	      N		   0.25	0.2
1	 	 CACM-1605	  5	 	      R		   0.4	0.4
1	 	 CACM-2371	  6	 	      N		   0.3333333333333333	0.4
1	 	 CACM-2319	  7	 	      N		   0.2857142857142857	0.4
1	 	 CACM-2379	  8	 	      N		   0.25	0.4
1	 	 CACM-1506	  9	 	      N		   0.2222222222222222	0.4
1	 	 CACM-3025	  10	 	      N		   0.2	0.4
1	 	 CACM-1544	  11	 	      N		   0.18181818181818182	0.4
1	 	 CACM-1749	  12	 	      N		   0.16666666666666666	0.4
1	 	 CACM-1938	  13	 	      N		   0.15384615384615385	0.4
1	 	 CACM-0971	  14	 	      N		   0.14285714285714285	0.4
1	 	 CACM-2358	  15	 	      R		   0.2	0.6
1	 	 CACM-2632	  16	 	      N		   0.1875	0.6
1	 	 CACM-1591	  17	 	      N		   0.17647058823529413	0.6
1	 	 CACM-2740	  18	 	      N		   0.16666666666666666	0.6
1	 	 CACM-1753	  19	 	      N		   0.15789473684210525	0.6
1	 	 CACM-1680	  20	 	      N		   0.15	0.6
1	 	 CACM-0585	  21	 	      N		   0.14285714285714285	0.6
1	 	 CACM-2951	  22	 	      N		   0.13636363636363635	0.6
1	 	 CACM-1179	  23	 	      N		   0.13043478260869565	0.6
1	 	 CACM-3127	  24	 	      N		   0.125	0.6
1	 	 CACM-2357	  25	 	      N		   0.12	0.6
1	 	 CACM-1960	  26	 	      N		   0.11538461538461539	0.6
1	 	 CACM-2629	  27	 	      N		   0.1111111111111111	0.6
1	 	 CACM-1033	  28	 	      N		   0.10714285714285714	0.6
1	 	 CACM-0414	  29	 	      N		   0.10344827586206896	0.6
1	 	 CACM-3048	  30	 	      N		   0.1	0.6
1	 	 CACM-1168	  31	 	      N		   0.0967741935483871	0.6
1	 	 CACM-1161	  32	 	      N		   0.09375	0.6
1	 	 CACM-1647	  33	 	      N		   0.09090909090909091	0.6
1	 	 CACM-1304	  34	 	      N		   0.08823529411764706	0.6
1	 	 CACM-1264	  35	 	      N		   0.08571428571428572	0.6
1	 	 CACM-1315	  36	 	      N		   0.08333333333333333	0.6
1	 	 CACM-1464	  37	 	      N		   0.08108108108108109	0.6
1	 	 CACM-1195	  38	 	      N		   0.07894736842105263	0.6
1	 	 CACM-2621	  39	 	      N		   0.07692307692307693	0.6
1	 	 CACM-0098	  40	 	      N		   0.075	0.6
1	 	 CACM-1225	  41	 	      N		   0.07317073170731707	0.6
1	 	 CACM-1526	  42	 	      N		   0.07142857142857142	0.6
1	 	 CACM-2317	  43	 	      N		   0.06976744186046512	0.6
1	 	 CACM-1657	  44	 	      N		   0.06818181818181818	0.6
1	 	 CACM-2624	  45	 	      N		   0.06666666666666667	0.6
1	 	 CACM-1341	  46	 	      N		   0.06521739130434782	0.6
1	 	 CACM-2054	  47	 	      N		   0.06382978723404255	0.6
1	 	 CACM-1805	  48	 	      N		   0.0625	0.6
1	 	 CACM-2424	  49	 	      N		   0.061224489795918366	0.6
1	 	 CACM-1236	  50	 	      N		   0.06	0.6
1	 	 CACM-1173	  51	 	      N		   0.058823529411764705	0.6
1	 	 CACM-0637	  52	 	      N		   0.057692307692307696	0.6
1	 	 CACM-1685	  53	 	      N		   0.05660377358490566	0.6
1	 	 CACM-2372	  54	 	      N		   0.05555555555555555	0.6
1	 	 CACM-3089	  55	 	      N		   0.05454545454545454	0.6
1	 	 CACM-1844	  56	 	      N		   0.05357142857142857	0.6
1	 	 CACM-1885	  57	 	      N		   0.05263157894736842	0.6
1	 	 CACM-2188	  58	 	      N		   0.05172413793103448	0.6
1	 	 CACM-1163	  59	 	      N		   0.05084745762711865	0.6
1	 	 CACM-2626	  60	 	      N		   0.05	0.6
1	 	 CACM-0271	  61	 	      N		   0.04918032786885246	0.6
1	 	 CACM-1034	  62	 	      N		   0.04838709677419355	0.6
1	 	 CACM-2597	  63	 	      N		   0.047619047619047616	0.6
1	 	 CACM-2535	  64	 	      N		   0.046875	0.6
1	 	 CACM-2219	  65	 	      N		   0.046153846153846156	0.6
1	 	 CACM-2868	  66	 	      N		   0.045454545454545456	0.6
1	 	 CACM-1827	  67	 	      N		   0.04477611940298507	0.6
1	 	 CACM-1046	  68	 	      N		   0.04411764705882353	0.6
1	 	 CACM-2947	  69	 	      N		   0.043478260869565216	0.6
1	 	 CACM-1750	  70	 	      N		   0.04285714285714286	0.6
1	 	 CACM-2920	  71	 	      N		   0.04225352112676056	0.6
1	 	 CACM-2681	  72	 	      N		   0.041666666666666664	0.6
1	 	 CACM-2946	  73	 	      N		   0.0410958904109589	0.6
