Query 	 Document 	 Ranking 	 R/N 	 Precision 			 Recall
1	 	 CACM-2685	  1	 	      N		   0.0	0.0
1	 	 CACM-0704	  2	 	      N		   0.0	0.0
1	 	 CACM-2984	  3	 	      N		   0.0	0.0
1	 	 CACM-0887	  4	 	      N		   0.0	0.0
1	 	 CACM-0190	  5	 	      N		   0.0	0.0
1	 	 CACM-2087	  6	 	      N		   0.0	0.0
1	 	 CACM-0174	  7	 	      N		   0.0	0.0
1	 	 CACM-2955	  8	 	      N		   0.0	0.0
1	 	 CACM-2747	  9	 	      N		   0.0	0.0
1	 	 CACM-1461	  10	 	      N		   0.0	0.0
1	 	 CACM-0067	  11	 	      N		   0.0	0.0
1	 	 CACM-0031	  12	 	      N		   0.0	0.0
1	 	 CACM-0767	  13	 	      N		   0.0	0.0
1	 	 CACM-0294	  14	 	      N		   0.0	0.0
1	 	 CACM-0398	  15	 	      N		   0.0	0.0
1	 	 CACM-2607	  16	 	      N		   0.0	0.0
1	 	 CACM-0866	  17	 	      N		   0.0	0.0
1	 	 CACM-0999	  18	 	      N		   0.0	0.0
1	 	 CACM-1107	  19	 	      N		   0.0	0.0
1	 	 CACM-0197	  20	 	      N		   0.0	0.0
1	 	 CACM-1719	  21	 	      N		   0.0	0.0
1	 	 CACM-0135	  22	 	      N		   0.0	0.0
1	 	 CACM-0148	  23	 	      N		   0.0	0.0
1	 	 CACM-1106	  24	 	      N		   0.0	0.0
1	 	 CACM-0061	  25	 	      N		   0.0	0.0
1	 	 CACM-0798	  26	 	      N		   0.0	0.0
1	 	 CACM-2560	  27	 	      N		   0.0	0.0
1	 	 CACM-0073	  28	 	      N		   0.0	0.0
1	 	 CACM-3012	  29	 	      N		   0.0	0.0
1	 	 CACM-0157	  30	 	      N		   0.0	0.0
1	 	 CACM-0433	  31	 	      N		   0.0	0.0
1	 	 CACM-0391	  32	 	      N		   0.0	0.0
1	 	 CACM-2311	  33	 	      N		   0.0	0.0
1	 	 CACM-0171	  34	 	      N		   0.0	0.0
1	 	 CACM-0198	  35	 	      N		   0.0	0.0
1	 	 CACM-0118	  36	 	      N		   0.0	0.0
1	 	 CACM-0163	  37	 	      N		   0.0	0.0
1	 	 CACM-1118	  38	 	      N		   0.0	0.0
1	 	 CACM-0006	  39	 	      N		   0.0	0.0
1	 	 CACM-0275	  40	 	      N		   0.0	0.0
1	 	 CACM-0334	  41	 	      N		   0.0	0.0
1	 	 CACM-0594	  42	 	      N		   0.0	0.0
1	 	 CACM-1571	  43	 	      N		   0.0	0.0
1	 	 CACM-0050	  44	 	      N		   0.0	0.0
1	 	 CACM-0234	  45	 	      N		   0.0	0.0
1	 	 CACM-0069	  46	 	      N		   0.0	0.0
1	 	 CACM-0826	  47	 	      N		   0.0	0.0
1	 	 CACM-0277	  48	 	      N		   0.0	0.0
1	 	 CACM-1070	  49	 	      N		   0.0	0.0
1	 	 CACM-1617	  50	 	      N		   0.0	0.0
1	 	 CACM-1937	  51	 	      N		   0.0	0.0
1	 	 CACM-2070	  52	 	      N		   0.0	0.0
1	 	 CACM-2642	  53	 	      N		   0.0	0.0
1	 	 CACM-0002	  54	 	      N		   0.0	0.0
1	 	 CACM-0047	  55	 	      N		   0.0	0.0
1	 	 CACM-0415	  56	 	      N		   0.0	0.0
1	 	 CACM-2766	  57	 	      N		   0.0	0.0
1	 	 CACM-0060	  58	 	      N		   0.0	0.0
1	 	 CACM-0438	  59	 	      N		   0.0	0.0
1	 	 CACM-0586	  60	 	      N		   0.0	0.0
1	 	 CACM-2435	  61	 	      N		   0.0	0.0
1	 	 CACM-2303	  62	 	      N		   0.0	0.0
1	 	 CACM-1956	  63	 	      N		   0.0	0.0
